asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PNC,0.42,0.01,2025-10-09 12:49:05,190.66,189.21,0.76,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 13:03:41,190.35,189.21,0.6,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:03:56,190.35,189.21,0.6,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:04:46,190.37,189.21,0.61,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:12:41,190.39,189.21,0.62,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:18:48,190.48,189.21,0.67,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:35:27,190.66,189.21,0.77,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:35:33,190.66,189.21,0.77,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:35:37,190.66,189.21,0.77,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:35:41,190.66,189.21,0.77,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:39:24,190.83,189.21,0.86,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:43:07,190.85,189.21,0.87,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:45:06,190.71,189.21,0.79,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:47:36,190.55,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:47:41,190.55,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:47:46,190.55,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:47:52,190.55,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:51:08,190.54,189.21,0.71,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 13:51:14,190.54,189.21,0.71,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 13:51:19,190.54,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:51:24,190.54,189.21,0.71,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:58:24,190.56,189.21,0.72,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:58:30,190.59,189.21,0.73,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:58:35,190.59,189.21,0.73,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 13:58:41,190.59,189.21,0.73,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-09 16:05:54,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:07:47,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:07:50,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:07:54,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:09:32,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:09:34,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 16:09:39,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 19:58:44,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-09 23:30:34,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:07:06,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:07:11,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:07:15,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:07:19,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:08:38,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:08:43,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:08:48,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-10 03:08:53,190.67,189.21,0.77,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-10 12:36:40,188.04,189.21,-0.62,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:37:10,188.04,189.21,-0.62,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:41:52,187.85,189.21,-0.72,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:41:55,187.85,189.21,-0.72,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:42:00,187.85,189.21,-0.72,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:42:06,187.85,189.21,-0.72,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:42:12,187.85,189.21,-0.72,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:57:51,187.38,189.21,-0.97,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:57:59,187.38,189.21,-0.97,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:58:06,187.38,189.21,-0.97,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 12:58:13,187.35,189.21,-0.98,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 13:58:39,186.99,189.21,-1.17,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 13:58:44,186.99,189.21,-1.17,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 13:58:50,186.99,189.21,-1.17,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 13:58:57,186.99,189.21,-1.17,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 16:13:06,183.95,189.21,-2.78,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 16:13:11,183.95,189.21,-2.78,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 16:13:15,183.95,189.21,-2.78,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-10 16:13:20,183.95,189.21,-2.78,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-14 03:34:15,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:34:20,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:34:25,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:34:28,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:40:00,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:40:03,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:40:06,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:42:24,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:42:29,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 03:42:34,186.92,189.21,-1.21,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:00:39,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:00:44,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:00:49,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:05:13,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:05:19,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:05:25,188.25,189.21,-0.51,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 04:14:43,188.25,189.21,-0.51,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-14 04:15:29,188.25,189.21,-0.51,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-14 04:23:21,188.25,189.21,-0.51,False,True,False,False,10.5,2
PNC,0.42,0.01,2025-10-14 04:23:53,188.25,189.21,-0.51,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-14 09:43:46,185.37,189.21,-2.03,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-14 09:43:50,185.21,189.21,-2.12,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-14 09:43:54,185.22,189.21,-2.11,False,True,False,False,10.5,2
PNC,0.43,0.01,2025-10-14 10:15:41,186.65,189.21,-1.35,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:21:24,187.42,189.21,-0.94,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:26:31,187.0,189.21,-1.16,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:26:35,187.0,189.21,-1.16,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:29:30,187.04,189.21,-1.14,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:30:17,186.8,189.21,-1.27,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:30:21,186.8,189.21,-1.27,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:32:05,187.06,189.21,-1.14,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 10:32:27,186.96,189.21,-1.19,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:26:16,187.59,189.21,-0.86,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:26:18,187.59,189.21,-0.86,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:29:20,187.55,189.21,-0.88,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:33:33,187.84,189.21,-0.72,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:35:28,187.87,189.21,-0.71,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-14 11:36:39,188.03,189.21,-0.62,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 11:38:15,188.28,189.21,-0.49,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 12:01:19,188.56,189.21,-0.35,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 12:02:29,188.45,189.21,-0.4,False,True,False,False,7.0,2
PNC,0.42,0.01,2025-10-14 17:29:56,191.0,189.21,0.95,False,True,False,False,7.0,2
PNC,0.44,0.01,2025-10-15 10:35:01,181.79,189.21,-3.92,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 11:53:51,185.93,189.21,-1.73,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:06:14,186.02,189.21,-1.68,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:10:15,186.36,189.21,-1.51,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:12:51,186.05,189.21,-1.67,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:14:10,186.22,189.21,-1.58,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:14:41,186.34,189.21,-1.52,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:15:11,186.25,189.21,-1.56,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:15:35,186.44,189.21,-1.46,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:18:09,185.76,189.21,-1.82,False,True,False,False,7.0,2
PNC,0.43,0.01,2025-10-15 12:21:38,185.38,189.21,-2.02,False,True,False,False,7.0,2
PNC,0.44,0.01,2025-10-15 15:20:43,182.22,189.21,-3.69,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:07:11,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:07:13,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:08:19,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:08:21,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:08:50,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:09:16,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:09:18,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:09:22,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:10:03,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:10:05,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:10:09,179.4,189.21,-5.18,False,True,False,False,7.0,2
PNC,0.45,0.01,2025-10-19 21:11:07,179.4,189.21,-5.18,False,True,False,False,7.0,2
