asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
QCOM,0.55,0.01,2025-08-12 19:55:01,153.65,149.5,2.77,True,False,False,False,7.0,2
QCOM,0.55,0.01,2025-08-12 20:07:18,153.6,149.5,2.74,True,False,False,False,7.0,2
QCOM,0.55,0.01,2025-08-12 20:11:27,153.6,149.5,2.74,True,False,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 02:30:53,158.09,157.56,0.33,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 02:38:02,158.09,157.56,0.33,False,True,False,False,7.0,2
QCOM,0.5,0.22,2025-08-15 04:06:54,158.53,157.57,0.61,False,True,False,False,7.0,2
QCOM,0.5,0.22,2025-08-15 04:36:54,158.54,157.57,0.61,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 11:29:14,157.81,157.57,0.15,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 11:58:30,157.43,157.57,-0.09,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 12:13:29,157.47,157.57,-0.07,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 12:32:43,156.71,157.57,-0.55,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 12:33:16,156.72,157.57,-0.54,False,True,False,False,7.0,2
QCOM,0.51,0.22,2025-08-15 13:35:02,157.57,157.57,-0.0,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 03:58:54,156.25,157.75,-0.95,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:00:12,156.33,157.75,-0.9,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:00:30,156.33,157.75,-0.9,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:00:38,156.33,157.75,-0.9,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:00:48,156.33,157.75,-0.9,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:01:44,156.0,157.75,-1.11,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:02:20,156.0,157.75,-1.11,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:02:40,156.0,157.75,-1.11,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:06:17,155.99,157.75,-1.12,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:10:01,155.99,157.75,-1.12,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-08-20 04:11:54,155.99,157.75,-1.12,False,True,False,False,7.0,2
QCOM,0.52,0.01,2025-08-21 12:47:54,153.58,157.75,-2.64,False,True,False,False,7.0,2
QCOM,0.52,0.01,2025-08-21 12:48:57,153.47,157.75,-2.71,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:10:48,153.59,157.75,-2.64,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:11:49,153.42,157.75,-2.75,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:12:52,153.5,157.75,-2.69,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:28:14,153.36,157.75,-2.78,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:32:46,153.36,157.75,-2.78,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-08-21 13:35:04,153.55,157.75,-2.66,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-08-25 16:18:32,156.42,157.75,-0.84,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-08-25 16:20:39,156.42,157.75,-0.84,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-08-25 16:47:24,156.5,157.75,-0.79,False,True,False,False,10.5,2
QCOM,0.5,0.01,2025-08-26 18:47:51,158.97,157.75,0.77,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-26 18:53:22,158.97,157.75,0.77,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-26 23:50:53,159.17,157.75,0.9,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-28 15:20:47,160.39,157.75,1.67,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-28 17:07:49,160.2,157.75,1.55,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-28 17:18:45,160.2,157.75,1.55,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-28 19:02:01,160.2,157.75,1.55,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-28 19:03:13,160.2,157.75,1.55,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-08-29 19:18:40,160.49,157.75,1.74,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-04 13:44:36,159.05,157.75,0.82,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-04 13:46:09,159.09,157.75,0.85,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 01:15:12,159.84,157.75,1.32,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 01:16:41,159.84,157.75,1.32,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 01:21:01,159.84,157.75,1.32,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 01:33:51,159.84,157.75,1.32,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 01:36:01,159.84,157.75,1.32,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 22:32:20,160.24,157.75,1.58,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 22:34:53,160.24,157.75,1.58,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 22:37:47,160.24,157.75,1.58,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-08 22:47:17,160.24,157.75,1.58,False,True,False,False,7.0,2
QCOM,0.5,0.01,2025-09-11 22:51:54,161.51,157.75,2.38,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-09-12 19:52:12,161.89,157.75,2.62,True,False,False,False,7.0,2
QCOM,0.48,0.01,2025-09-18 10:11:43,168.14,160.84,4.54,True,False,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 21:52:37,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 21:53:55,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 22:08:23,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 22:10:08,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 22:12:57,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-09-20 22:14:12,166.85,166.37,0.29,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:13:14,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:13:31,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:13:52,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:14:30,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:14:50,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:15:08,166.4,166.37,0.02,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:22:27,166.25,166.37,-0.07,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:22:51,166.25,166.37,-0.07,False,True,False,False,7.0,2
QCOM,0.48,0.2,2025-10-01 17:23:02,166.25,166.37,-0.07,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-02 16:28:28,168.85,166.37,1.49,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-02 16:32:22,168.85,166.37,1.49,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-03 16:40:19,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-03 16:46:23,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-03 16:49:31,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-04 01:18:58,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:15:34,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:27:18,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:28:08,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:44:06,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:49:20,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:49:59,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.47,0.2,2025-10-05 04:52:19,169.18,166.37,1.69,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:09:05,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:16:15,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:20:42,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:03,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:09,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:12,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:16,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:19,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 01:26:22,167.77,166.66,0.67,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-09 12:49:05,164.12,166.66,-1.52,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-09 13:03:41,163.75,166.66,-1.74,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:03:56,163.72,166.66,-1.76,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:04:46,163.76,166.66,-1.74,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:12:41,163.81,166.66,-1.71,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:18:48,163.49,166.66,-1.9,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:35:27,163.51,166.66,-1.88,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:35:33,163.51,166.66,-1.88,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:35:37,163.51,166.66,-1.88,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:35:41,163.55,166.66,-1.86,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:39:24,163.93,166.66,-1.64,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:43:07,163.78,166.66,-1.73,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:45:06,163.81,166.66,-1.71,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:47:36,163.79,166.66,-1.72,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:47:41,163.77,166.66,-1.73,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:47:46,163.79,166.66,-1.72,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:47:52,163.79,166.66,-1.72,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:51:08,163.87,166.66,-1.67,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-09 13:51:14,163.87,166.66,-1.67,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-09 13:51:19,163.88,166.66,-1.67,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:51:24,163.88,166.66,-1.67,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:58:24,163.84,166.66,-1.69,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:58:30,163.84,166.66,-1.69,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:58:35,163.84,166.66,-1.69,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-09 13:58:41,163.81,166.66,-1.71,False,True,False,False,10.5,2
QCOM,0.48,0.01,2025-10-09 16:05:54,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:07:47,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:07:50,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:07:54,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:09:32,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:09:34,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 16:09:39,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 19:58:44,166.2,166.66,-0.27,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-09 23:30:34,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:07:06,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:07:11,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:07:15,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:07:19,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:08:38,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:08:43,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:08:48,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.48,0.01,2025-10-10 03:08:53,165.66,166.66,-0.6,False,True,False,False,7.0,2
QCOM,0.51,0.01,2025-10-10 12:36:40,157.97,166.66,-5.21,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:37:10,158.03,166.66,-5.18,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:41:52,157.91,166.66,-5.25,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:41:55,157.91,166.66,-5.25,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:42:00,157.84,166.66,-5.29,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:42:06,157.82,166.66,-5.3,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:42:12,157.84,166.66,-5.29,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:57:51,157.19,166.66,-5.68,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:57:59,157.22,166.66,-5.66,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:58:06,157.29,166.66,-5.62,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 12:58:13,157.27,166.66,-5.63,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 13:58:39,157.22,166.66,-5.66,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 13:58:44,157.31,166.66,-5.61,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 13:58:50,157.32,166.66,-5.6,False,True,False,False,10.5,2
QCOM,0.51,0.01,2025-10-10 13:58:57,157.32,166.66,-5.6,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-10-10 16:13:06,153.55,166.66,-7.86,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-10-10 16:13:11,153.55,166.66,-7.86,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-10-10 16:13:15,153.55,166.66,-7.86,False,True,False,False,10.5,2
QCOM,0.52,0.01,2025-10-10 16:13:20,153.55,166.66,-7.86,False,True,False,False,10.5,2
QCOM,0.49,0.01,2025-10-14 03:34:15,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:34:20,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:34:25,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:34:28,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:40:00,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:40:03,161.78,166.66,-2.93,False,True,False,False,7.0,2
QCOM,0.49,0.01,2025-10-14 03:40:06,161.78,166.66,-2.93,False,True,False,False,7.0,2
