asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
RDDT,0.38,0.01,2025-10-09 12:49:05,209.87,201.0,4.41,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 13:03:41,209.53,201.0,4.25,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:03:56,209.53,201.0,4.25,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:04:46,209.96,201.0,4.46,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:12:41,209.81,201.0,4.39,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:18:48,208.57,201.0,3.77,False,True,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:35:27,208.49,201.0,3.73,False,True,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:35:33,208.28,201.0,3.62,False,True,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:35:37,208.28,201.0,3.62,False,True,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:35:41,208.28,201.0,3.62,False,True,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:39:24,209.1,201.0,4.03,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:43:07,209.12,201.0,4.04,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:45:06,209.33,201.0,4.15,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:47:36,209.86,201.0,4.41,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:47:41,209.86,201.0,4.41,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:47:46,209.71,201.0,4.34,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:47:52,209.71,201.0,4.34,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:51:08,209.69,201.0,4.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 13:51:14,209.69,201.0,4.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 13:51:19,209.85,201.0,4.4,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:51:24,209.85,201.0,4.4,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:58:24,209.05,201.0,4.01,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:58:30,209.1,201.0,4.03,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:58:35,208.91,201.0,3.94,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 13:58:41,208.91,201.0,3.94,True,False,False,False,10.5,2
RDDT,0.38,0.01,2025-10-09 16:05:54,212.1,201.0,5.52,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:07:47,212.1,201.0,5.52,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:07:50,212.1,201.0,5.52,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:07:54,212.18,201.0,5.56,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:09:32,212.18,201.0,5.56,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:09:34,212.18,201.0,5.56,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 16:09:39,212.18,201.0,5.56,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 19:58:44,212.4,201.0,5.67,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-09 23:30:34,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:07:06,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:07:11,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:07:15,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:07:19,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:08:38,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:08:43,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:08:48,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.38,0.01,2025-10-10 03:08:53,211.7,201.0,5.33,True,False,False,False,7.0,2
RDDT,0.39,0.16,2025-10-10 12:36:40,204.74,212.17,-3.5,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:37:10,204.61,212.17,-3.56,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:41:52,204.1,212.17,-3.8,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:41:55,204.1,212.17,-3.8,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:42:00,204.1,212.17,-3.8,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:42:06,204.1,212.17,-3.8,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:42:12,204.1,212.17,-3.8,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:57:51,202.59,212.17,-4.52,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:57:59,202.59,212.17,-4.52,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:58:06,202.56,212.17,-4.53,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 12:58:13,202.7,212.17,-4.46,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 13:58:39,203.37,212.17,-4.15,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 13:58:44,203.29,212.17,-4.18,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 13:58:50,203.3,212.17,-4.18,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-10 13:58:57,203.3,212.17,-4.18,False,True,False,False,10.5,2
RDDT,0.4,0.16,2025-10-10 16:13:06,198.8,212.17,-6.3,False,True,False,False,10.5,2
RDDT,0.4,0.16,2025-10-10 16:13:11,198.8,212.17,-6.3,False,True,False,False,10.5,2
RDDT,0.4,0.16,2025-10-10 16:13:15,198.8,212.17,-6.3,False,True,False,False,10.5,2
RDDT,0.4,0.16,2025-10-10 16:13:20,198.8,212.17,-6.3,False,True,False,False,10.5,2
RDDT,0.39,0.16,2025-10-14 03:34:15,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:34:20,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:34:25,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:34:28,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:40:00,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:40:03,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:40:06,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:42:24,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:42:29,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 03:42:34,203.68,212.17,-4.0,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 04:00:39,203.15,212.17,-4.25,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 04:00:44,203.15,212.17,-4.25,False,True,False,False,7.0,2
RDDT,0.39,0.16,2025-10-14 04:00:49,203.15,212.17,-4.25,False,True,False,False,7.0,2
RDDT,0.4,0.16,2025-10-14 04:05:13,197.84,212.17,-6.75,False,True,False,False,7.0,2
RDDT,0.4,0.16,2025-10-14 04:05:19,197.84,212.17,-6.75,False,True,False,False,7.0,2
RDDT,0.4,0.16,2025-10-14 04:05:25,197.84,212.17,-6.75,False,True,False,False,7.0,2
RDDT,0.41,0.17,2025-10-14 04:14:43,197.19,211.39,-6.72,False,True,False,False,10.5,2
RDDT,0.41,0.17,2025-10-14 04:15:29,197.19,211.39,-6.72,False,True,False,False,10.5,2
RDDT,0.4,0.17,2025-10-14 04:23:21,197.94,211.39,-6.36,False,True,False,False,10.5,2
RDDT,0.4,0.17,2025-10-14 04:23:53,197.94,211.39,-6.36,False,True,False,False,10.5,2
RDDT,0.41,0.17,2025-10-14 09:43:46,195.73,211.39,-7.41,False,True,False,False,10.5,2
