asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
RKLB,1.19,0.02,2025-10-09 12:49:05,67.09,64.7,3.7,True,False,False,False,7.0,2
RKLB,1.2,0.02,2025-10-09 13:03:41,66.71,64.7,3.11,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:03:56,66.75,64.7,3.18,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:04:46,66.7,64.7,3.09,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:12:41,66.82,64.7,3.28,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:18:48,66.68,64.7,3.06,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:35:27,66.39,64.7,2.62,False,True,False,False,10.5,2
RKLB,1.2,0.02,2025-10-09 13:35:33,66.41,64.7,2.64,False,True,False,False,10.5,2
RKLB,1.21,0.02,2025-10-09 13:35:37,66.39,64.7,2.61,False,True,False,False,10.5,2
RKLB,1.21,0.02,2025-10-09 13:35:41,66.36,64.7,2.58,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:39:24,67.06,64.7,3.65,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:43:07,67.42,64.7,4.21,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:45:06,67.39,64.7,4.16,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:47:36,67.06,64.7,3.65,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:47:41,67.08,64.7,3.68,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:47:46,67.11,64.7,3.73,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:47:52,67.11,64.7,3.73,False,True,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:51:08,67.4,64.7,4.18,True,False,False,False,7.0,2
RKLB,1.19,0.02,2025-10-09 13:51:14,67.38,64.7,4.14,True,False,False,False,7.0,2
RKLB,1.19,0.02,2025-10-09 13:51:19,67.33,64.7,4.07,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:51:24,67.38,64.7,4.14,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:58:24,67.38,64.7,4.14,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:58:30,67.41,64.7,4.19,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:58:35,67.38,64.7,4.14,True,False,False,False,10.5,2
RKLB,1.19,0.02,2025-10-09 13:58:41,67.38,64.7,4.14,True,False,False,False,10.5,2
RKLB,1.2,0.51,2025-10-09 16:05:54,66.7,66.86,-0.24,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:07:47,66.7,66.86,-0.24,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:07:50,66.7,66.86,-0.24,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:07:54,66.7,66.86,-0.24,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:09:32,66.5,66.86,-0.54,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:09:34,66.5,66.86,-0.54,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 16:09:39,66.5,66.86,-0.54,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 19:58:44,66.63,66.86,-0.34,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-09 23:30:34,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:07:06,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:07:11,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:07:15,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:07:19,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:08:38,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:08:43,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:08:48,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.2,0.51,2025-10-10 03:08:53,66.42,66.86,-0.65,False,True,False,False,7.0,2
RKLB,1.15,0.47,2025-10-10 12:36:40,69.35,71.7,-3.28,False,True,False,False,10.5,2
RKLB,1.15,0.47,2025-10-10 12:37:10,69.38,71.7,-3.24,False,True,False,False,10.5,2
RKLB,1.16,0.47,2025-10-10 12:41:52,69.02,71.7,-3.74,False,True,False,False,10.5,2
RKLB,1.16,0.47,2025-10-10 12:41:55,69.0,71.7,-3.77,False,True,False,False,10.5,2
RKLB,1.16,0.47,2025-10-10 12:42:00,68.95,71.7,-3.84,False,True,False,False,10.5,2
RKLB,1.16,0.47,2025-10-10 12:42:06,68.97,71.7,-3.82,False,True,False,False,10.5,2
RKLB,1.16,0.47,2025-10-10 12:42:12,68.96,71.7,-3.82,False,True,False,False,10.5,2
RKLB,1.17,0.47,2025-10-10 12:57:51,68.14,71.7,-4.97,False,True,False,False,10.5,2
RKLB,1.17,0.47,2025-10-10 12:57:59,68.17,71.7,-4.92,False,True,False,False,10.5,2
RKLB,1.17,0.47,2025-10-10 12:58:06,68.25,71.7,-4.82,False,True,False,False,10.5,2
RKLB,1.17,0.47,2025-10-10 12:58:13,68.2,71.7,-4.88,False,True,False,False,10.5,2
RKLB,1.19,0.47,2025-10-10 13:58:39,67.44,71.7,-5.94,False,True,False,False,10.5,2
RKLB,1.19,0.47,2025-10-10 13:58:44,67.51,71.7,-5.84,False,True,False,False,10.5,2
RKLB,1.19,0.47,2025-10-10 13:58:50,67.51,71.7,-5.84,False,True,False,False,10.5,2
RKLB,1.19,0.47,2025-10-10 13:58:57,67.47,71.7,-5.9,False,True,False,False,10.5,2
RKLB,1.24,2.66,2025-10-10 16:13:06,64.72,65.91,-1.81,False,True,False,True,10.5,2
RKLB,1.24,2.66,2025-10-10 16:13:11,64.72,65.91,-1.81,False,True,False,True,10.5,2
RKLB,1.24,2.66,2025-10-10 16:13:15,64.72,65.91,-1.81,False,True,False,True,10.5,2
RKLB,1.24,2.66,2025-10-10 16:13:20,64.72,65.91,-1.81,False,True,False,True,10.5,2
RKLB,1.22,0.01,2025-10-14 03:34:15,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:34:20,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:34:25,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:34:28,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:40:00,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:40:03,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:40:06,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:42:24,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:42:29,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.22,0.01,2025-10-14 03:42:34,65.42,65.91,-0.75,False,True,False,False,7.0,2
RKLB,1.24,0.01,2025-10-14 04:00:39,64.35,65.91,-2.36,False,True,False,False,7.0,2
RKLB,1.25,0.01,2025-10-14 04:00:44,64.11,65.91,-2.73,False,True,False,False,7.0,2
RKLB,1.25,0.01,2025-10-14 04:00:49,64.0,65.91,-2.9,False,True,False,False,7.0,2
RKLB,1.28,0.01,2025-10-14 04:05:13,62.54,65.91,-5.11,False,True,False,False,7.0,2
RKLB,1.28,0.01,2025-10-14 04:05:19,62.54,65.91,-5.11,False,True,False,False,7.0,2
RKLB,1.28,0.01,2025-10-14 04:05:25,62.58,65.91,-5.05,False,True,False,False,7.0,2
RKLB,1.25,0.01,2025-10-14 04:14:43,64.03,65.91,-2.85,False,True,False,False,10.5,2
RKLB,1.25,0.01,2025-10-14 04:15:29,64.0,65.91,-2.9,False,True,False,False,10.5,2
RKLB,1.25,0.01,2025-10-14 04:23:21,64.18,65.91,-2.62,False,True,False,False,10.5,2
RKLB,1.24,0.01,2025-10-14 04:23:53,64.3,65.91,-2.44,False,True,False,False,10.5,2
RKLB,1.26,0.01,2025-10-14 09:43:46,63.43,65.91,-3.76,False,True,False,False,10.5,2
RKLB,1.26,0.01,2025-10-14 09:43:50,63.52,65.91,-3.62,False,True,False,False,10.5,2
RKLB,1.26,0.01,2025-10-14 09:43:54,63.53,65.91,-3.61,False,True,False,False,10.5,2
RKLB,1.2,0.01,2025-10-14 10:15:41,66.92,65.91,1.53,False,True,False,False,7.0,2
RKLB,1.17,0.01,2025-10-14 10:21:24,68.14,65.91,3.39,True,False,False,False,7.0,2
RKLB,1.17,0.01,2025-10-14 10:26:31,68.44,65.91,3.85,True,False,False,False,7.0,2
RKLB,1.17,0.01,2025-10-14 10:26:35,68.58,65.91,4.05,True,False,False,False,7.0,2
RKLB,1.16,0.01,2025-10-14 10:29:30,68.83,65.91,4.42,True,False,False,False,7.0,2
RKLB,1.16,0.01,2025-10-14 10:30:17,69.19,65.91,4.98,True,False,False,False,7.0,2
RKLB,1.16,0.01,2025-10-14 10:30:21,69.18,65.91,4.96,True,False,False,False,7.0,2
RKLB,1.16,0.01,2025-10-14 10:32:05,68.7,65.91,4.24,True,False,False,False,7.0,2
RKLB,1.16,0.01,2025-10-14 10:32:27,68.86,65.91,4.48,True,False,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:26:16,66.69,65.91,1.19,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:26:18,66.73,65.91,1.25,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:29:20,66.75,65.91,1.28,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:33:33,66.53,65.91,0.95,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:35:28,66.6,65.91,1.05,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:36:39,66.66,65.91,1.14,False,True,False,False,7.0,2
RKLB,1.2,0.01,2025-10-14 11:38:15,66.75,65.91,1.28,False,True,False,False,7.0,2
RKLB,1.19,0.01,2025-10-14 12:01:19,67.07,65.91,1.76,False,True,False,False,7.0,2
RKLB,1.19,0.01,2025-10-14 12:02:29,67.15,65.91,1.88,False,True,False,False,7.0,2
RKLB,1.17,0.01,2025-10-14 17:29:56,68.19,65.91,3.46,True,False,False,False,7.0,2
RKLB,1.09,0.48,2025-10-15 10:35:01,73.45,70.1,4.78,True,False,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 11:53:51,69.27,70.1,-1.18,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:06:14,69.45,70.1,-0.93,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:10:15,69.27,70.1,-1.18,False,True,False,False,7.0,2
RKLB,1.16,0.01,2025-10-15 12:12:51,69.25,70.1,-1.21,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:14:10,69.34,70.1,-1.08,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:14:41,69.37,70.1,-1.03,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:15:11,69.53,70.1,-0.82,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 12:15:35,69.55,70.1,-0.78,False,True,False,False,7.0,2
RKLB,1.16,0.01,2025-10-15 12:18:09,69.04,70.1,-1.51,False,True,False,False,7.0,2
RKLB,1.16,0.01,2025-10-15 12:21:38,69.24,70.1,-1.23,False,True,False,False,7.0,2
RKLB,1.15,0.01,2025-10-15 15:20:43,69.66,70.1,-0.63,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:07:11,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:07:13,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:08:19,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:08:21,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:08:50,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:09:16,66.27,70.19,-5.58,False,True,False,False,7.0,2
RKLB,1.21,0.01,2025-10-19 21:09:18,66.27,70.19,-5.58,False,True,False,False,7.0,2
