asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SBIT,3.08,0.06,2025-10-02 16:28:28,25.96,26.2,-0.91,False,True,False,False,11.375,2
SBIT,3.08,0.06,2025-10-02 16:32:22,25.95,26.2,-0.95,False,True,False,False,11.375,2
SBIT,3.18,0.06,2025-10-03 16:40:19,25.14,26.2,-4.04,False,True,False,False,11.375,2
SBIT,3.2,0.06,2025-10-03 16:46:23,25.0,26.2,-4.57,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-03 16:49:31,25.07,26.2,-4.31,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-04 01:18:58,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:15:34,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:27:18,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:28:08,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:44:06,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:49:20,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:49:59,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.19,0.06,2025-10-05 04:52:19,25.04,26.2,-4.42,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:09:05,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:16:15,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:20:42,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:03,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:09,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:12,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:16,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:19,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.24,0.06,2025-10-09 01:26:22,24.71,26.2,-5.68,False,True,False,False,11.375,2
SBIT,3.1,0.06,2025-10-09 12:49:05,25.79,26.2,-1.56,False,True,False,False,11.375,2
SBIT,3.06,0.06,2025-10-09 13:03:41,26.16,26.2,-0.15,False,True,False,False,17.0625,2
SBIT,3.07,0.06,2025-10-09 13:03:56,26.1,26.2,-0.37,False,True,False,False,17.0625,2
