asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SBUX,1.0,0.02,2025-10-09 12:49:05,79.84,79.62,0.28,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 13:03:41,79.73,79.62,0.15,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:03:56,79.75,79.62,0.17,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:04:46,79.76,79.62,0.18,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:12:41,79.75,79.62,0.16,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:18:48,79.72,79.62,0.13,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:35:27,79.7,79.62,0.11,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:35:33,79.7,79.62,0.11,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:35:37,79.7,79.62,0.11,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:35:41,79.7,79.62,0.11,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:39:24,79.71,79.62,0.12,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:43:07,79.69,79.62,0.1,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:45:06,79.74,79.62,0.16,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:47:36,79.72,79.62,0.12,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:47:41,79.72,79.62,0.12,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:47:46,79.72,79.62,0.12,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:47:52,79.7,79.62,0.11,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:51:08,79.73,79.62,0.14,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 13:51:14,79.73,79.62,0.14,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 13:51:19,79.73,79.62,0.14,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:51:24,79.73,79.62,0.14,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:58:24,79.73,79.62,0.14,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:58:30,79.73,79.62,0.14,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:58:35,79.73,79.62,0.14,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 13:58:41,79.72,79.62,0.12,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-09 16:05:54,79.75,79.62,0.17,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 16:07:47,79.75,79.62,0.17,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 16:07:50,79.75,79.62,0.17,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 16:07:54,79.75,79.62,0.17,False,True,False,False,7.0,2
SBUX,1.01,0.02,2025-10-09 16:09:32,79.59,79.62,-0.03,False,True,False,False,7.0,2
SBUX,1.01,0.02,2025-10-09 16:09:34,79.59,79.62,-0.03,False,True,False,False,7.0,2
SBUX,1.01,0.02,2025-10-09 16:09:39,79.59,79.62,-0.03,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 19:58:44,79.88,79.62,0.33,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-09 23:30:34,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:07:06,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:07:11,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:07:15,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:07:19,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:08:38,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:08:43,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:08:48,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 03:08:53,79.78,79.62,0.21,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-10 12:36:40,79.62,79.62,0.01,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-10 12:37:10,79.61,79.62,-0.01,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:41:52,79.54,79.62,-0.1,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:41:55,79.52,79.62,-0.12,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:42:00,79.52,79.62,-0.12,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:42:06,79.51,79.62,-0.13,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:42:12,79.53,79.62,-0.11,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:57:51,79.4,79.62,-0.27,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:57:59,79.41,79.62,-0.26,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:58:06,79.42,79.62,-0.25,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 12:58:13,79.41,79.62,-0.26,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 13:58:39,79.22,79.62,-0.5,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 13:58:44,79.22,79.62,-0.5,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 13:58:50,79.23,79.62,-0.48,False,True,False,False,10.5,2
SBUX,1.01,0.02,2025-10-10 13:58:57,79.23,79.62,-0.48,False,True,False,False,10.5,2
SBUX,1.02,0.02,2025-10-10 16:13:06,78.67,79.62,-1.19,False,True,False,False,10.5,2
SBUX,1.02,0.02,2025-10-10 16:13:11,78.67,79.62,-1.19,False,True,False,False,10.5,2
SBUX,1.02,0.02,2025-10-10 16:13:15,78.67,79.62,-1.19,False,True,False,False,10.5,2
SBUX,1.02,0.02,2025-10-10 16:13:20,78.67,79.62,-1.19,False,True,False,False,10.5,2
SBUX,1.0,0.02,2025-10-14 03:34:15,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:34:20,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:34:25,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:34:28,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:40:00,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:40:03,80.03,79.62,0.52,False,True,False,False,7.0,2
SBUX,1.0,0.02,2025-10-14 03:40:06,80.03,79.62,0.52,False,True,False,False,7.0,2
