asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SCHW,0.86,0.02,2025-10-09 12:49:05,93.0,93.35,-0.37,False,True,False,False,7.0,2
SCHW,0.86,0.02,2025-10-09 13:03:41,92.84,93.35,-0.54,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:03:56,92.84,93.35,-0.54,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:04:46,92.85,93.35,-0.53,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:12:41,93.04,93.35,-0.33,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:18:48,93.1,93.35,-0.27,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:35:27,93.33,93.35,-0.02,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:35:33,93.32,93.35,-0.03,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:35:37,93.32,93.35,-0.03,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:35:41,93.33,93.35,-0.02,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:39:24,93.37,93.35,0.02,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:43:07,93.42,93.35,0.07,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:45:06,93.48,93.35,0.14,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:47:36,93.56,93.35,0.22,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:47:41,93.56,93.35,0.23,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:47:46,93.56,93.35,0.23,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:47:52,93.56,93.35,0.23,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:51:08,93.51,93.35,0.17,False,True,False,False,7.0,2
SCHW,0.86,0.02,2025-10-09 13:51:14,93.51,93.35,0.17,False,True,False,False,7.0,2
SCHW,0.86,0.02,2025-10-09 13:51:19,93.51,93.35,0.17,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:51:24,93.51,93.35,0.17,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:58:24,93.48,93.35,0.15,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:58:30,93.48,93.35,0.15,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:58:35,93.48,93.35,0.14,False,True,False,False,10.5,2
SCHW,0.86,0.02,2025-10-09 13:58:41,93.48,93.35,0.14,False,True,False,False,10.5,2
SCHW,0.85,0.02,2025-10-09 16:05:54,94.02,93.35,0.72,False,True,False,False,7.0,2
SCHW,0.85,0.02,2025-10-09 16:07:47,94.02,93.35,0.72,False,True,False,False,7.0,2
