asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SMCI,1.82,1.0,2025-09-11 22:51:54,43.95,43.55,0.92,False,True,False,True,7.0,2
SMCI,1.78,0.01,2025-09-12 19:52:12,44.91,43.55,3.12,True,False,False,False,7.0,2
SMCI,1.78,0.76,2025-09-18 10:11:43,45.06,44.73,0.73,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 21:52:37,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 21:53:55,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 22:08:23,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 22:10:08,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 22:12:57,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.75,0.01,2025-09-20 22:14:12,45.81,44.75,2.37,False,True,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:13:14,51.98,44.75,16.16,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:13:31,51.98,44.75,16.16,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:13:52,51.95,44.75,16.09,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:14:30,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:14:50,51.95,44.75,16.09,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:15:08,51.95,44.75,16.09,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:22:27,51.92,44.75,16.02,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:22:51,51.9,44.75,15.98,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-01 17:23:02,51.9,44.75,15.98,True,False,False,False,7.0,2
SMCI,1.53,0.01,2025-10-02 16:28:28,52.37,44.75,17.03,True,False,False,False,7.0,2
SMCI,1.53,0.01,2025-10-02 16:32:22,52.35,44.75,16.98,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-03 16:40:19,51.78,44.75,15.71,True,False,False,False,7.0,2
SMCI,1.55,0.01,2025-10-03 16:46:23,51.75,44.75,15.64,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-03 16:49:31,51.81,44.75,15.78,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-04 01:18:58,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:15:34,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:27:18,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:28:08,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:44:06,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:49:20,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:49:59,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.54,0.01,2025-10-05 04:52:19,51.96,44.75,16.11,True,False,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:09:05,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:16:15,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:20:42,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:03,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:09,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:12,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:16,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:19,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.59,2025-10-09 01:26:22,58.68,57.42,2.2,False,True,False,False,7.0,2
SMCI,1.36,0.61,2025-10-09 12:49:05,58.65,57.45,2.09,False,True,False,False,7.0,2
SMCI,1.38,0.61,2025-10-09 13:03:41,58.12,57.45,1.17,False,True,False,False,10.5,2
SMCI,1.38,0.61,2025-10-09 13:03:56,58.12,57.45,1.17,False,True,False,False,10.5,2
SMCI,1.38,0.61,2025-10-09 13:04:46,58.14,57.45,1.2,False,True,False,False,10.5,2
SMCI,1.38,0.61,2025-10-09 13:12:41,58.16,57.45,1.23,False,True,False,False,10.5,2
SMCI,1.38,0.61,2025-10-09 13:18:48,58.02,57.45,0.99,False,True,False,False,10.5,2
SMCI,1.39,0.61,2025-10-09 13:35:27,57.72,57.45,0.47,False,True,False,False,10.5,2
SMCI,1.39,0.61,2025-10-09 13:35:33,57.74,57.45,0.52,False,True,False,False,10.5,2
SMCI,1.39,0.61,2025-10-09 13:35:37,57.76,57.45,0.53,False,True,False,False,10.5,2
