asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SOXL,6,3.51,2025-06-22 22:31:52,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:32:57,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:33:27,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:34:15,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:35:05,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:37:31,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:38:53,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:39:57,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:43:27,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,3.51,2025-06-22 22:43:58,21.21,21.28,-0.35,False,True,False,True,7.5,2
SOXL,6,39.51,2025-06-23 22:04:06,21.58,21.46,0.55,False,True,False,True,9.0,2
SOXL,6,39.51,2025-06-23 22:05:10,21.58,21.46,0.55,False,True,False,True,9.0,2
SOXL,6,39.51,2025-06-23 22:17:21,21.58,21.46,0.55,False,True,False,True,9.0,2
SOXL,6,39.51,2025-06-23 22:17:35,21.58,21.46,0.55,False,True,False,True,9.0,2
SOXL,6,39.51,2025-06-23 22:44:25,21.58,21.46,0.55,False,True,False,True,9.0,2
SOXL,4,36.01,2025-06-26 01:22:30,24.58,24.39,0.79,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 21:56:11,25.2,24.39,3.34,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 21:57:36,25.2,24.39,3.34,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 21:58:20,25.2,24.39,3.34,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 21:59:27,25.2,24.39,3.34,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 21:59:53,25.2,24.39,3.34,False,True,False,True,10.2,2
SOXL,4,36.01,2025-06-26 22:00:11,25.2,24.39,3.34,False,True,False,True,10.5,2
SOXL,4,1.01,2025-06-29 23:34:17,25.11,24.39,2.95,False,True,False,True,10.5,2
