asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SPXL,1,0.21,2025-07-14 00:02:24,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:04:30,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:04:59,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:15:06,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:17:27,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:22:15,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:23:09,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 00:29:09,177.54,176.64,0.51,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:50:40,177.11,176.64,0.27,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:50:52,177.19,176.64,0.32,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:54:31,177.12,176.64,0.28,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:54:46,177.12,176.64,0.28,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:55:26,177.13,176.64,0.28,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 09:55:40,176.97,176.64,0.19,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 10:03:44,176.66,176.64,0.01,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 10:03:59,176.7,176.64,0.04,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 10:43:17,176.99,176.64,0.2,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 11:42:34,178.08,176.64,0.81,False,True,False,False,7.0,2
SPXL,1,0.21,2025-07-14 12:33:50,177.65,176.64,0.57,False,True,False,False,7.0,2
SPXL,1,2.71,2025-07-16 21:30:52,177.86,175.7,1.23,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-16 21:33:50,177.86,175.7,1.23,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-16 21:34:30,177.86,175.7,1.23,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-16 21:40:52,177.86,175.7,1.23,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-16 23:01:00,177.86,175.7,1.23,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-17 09:39:56,178.37,175.7,1.52,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-17 10:10:23,179.56,175.7,2.2,False,True,False,True,7.0,2
SPXL,1,2.71,2025-07-17 10:39:24,178.73,175.7,1.73,False,True,False,True,7.0,2
