asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
SYM,1.66,0.01,2025-08-12 19:55:01,51.25,51.99,-1.43,False,True,False,False,7.0,2
SYM,1.64,0.01,2025-08-12 20:07:18,51.9,51.99,-0.18,False,True,False,False,7.0,2
SYM,1.64,0.01,2025-08-12 20:11:27,51.9,51.99,-0.18,False,True,False,False,7.0,2
SYM,1.52,0.01,2025-08-15 02:30:53,52.73,53.45,-1.35,False,True,False,False,7.0,2
SYM,1.52,0.01,2025-08-15 02:38:02,52.73,53.45,-1.35,False,True,False,False,7.0,2
SYM,1.52,0.01,2025-08-15 04:06:54,52.63,53.47,-1.58,False,True,False,False,7.0,2
SYM,1.52,0.01,2025-08-15 04:36:54,52.63,53.47,-1.58,False,True,False,False,7.0,2
SYM,1.53,0.01,2025-08-15 11:29:14,52.23,53.47,-2.34,False,True,False,False,7.0,2
SYM,1.54,0.01,2025-08-15 11:58:30,51.88,53.47,-2.99,False,True,False,False,7.0,2
SYM,1.53,0.01,2025-08-15 12:13:29,52.27,53.47,-2.25,False,True,False,False,7.0,2
SYM,1.53,0.01,2025-08-15 12:32:43,52.22,53.47,-2.35,False,True,False,False,7.0,2
SYM,1.53,0.01,2025-08-15 12:33:16,52.22,53.47,-2.35,False,True,False,False,7.0,2
SYM,1.52,0.01,2025-08-15 13:35:02,52.53,53.47,-1.76,False,True,False,False,7.0,2
SYM,1.71,1.77,2025-08-20 03:58:54,46.8,48.49,-3.48,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:00:12,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:00:30,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:00:38,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:00:48,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:01:44,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:02:20,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:02:40,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:06:17,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:10:01,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.74,1.77,2025-08-20 04:11:54,46.0,48.49,-5.13,False,True,False,True,7.0,2
SYM,1.81,1.77,2025-08-21 12:47:54,44.26,48.49,-8.72,False,False,True,True,7.0,2
SYM,1.81,1.77,2025-08-21 12:48:57,44.17,48.49,-8.91,False,True,False,True,10.5,2
SYM,1.81,1.77,2025-08-21 13:10:48,44.21,48.49,-8.82,False,True,False,True,10.5,2
SYM,1.81,1.77,2025-08-21 13:11:49,44.22,48.49,-8.8,False,True,False,True,10.5,2
SYM,1.81,1.77,2025-08-21 13:12:52,44.26,48.49,-8.73,False,True,False,True,10.5,2
