asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
T,2.77,0.04,2025-09-08 22:32:20,28.9,28.97,-0.23,False,True,False,False,7.0,2
T,2.77,0.04,2025-09-08 22:34:53,28.9,28.97,-0.23,False,True,False,False,7.0,2
T,2.77,0.04,2025-09-08 22:37:47,28.9,28.97,-0.23,False,True,False,False,7.0,2
T,2.77,0.04,2025-09-08 22:47:17,28.9,28.97,-0.23,False,True,False,False,7.0,2
T,2.71,0.04,2025-09-11 22:51:54,29.49,28.97,1.8,False,True,False,False,7.0,2
T,2.71,0.04,2025-09-12 19:52:12,29.51,28.97,1.88,False,True,False,False,7.0,2
T,2.73,1.14,2025-09-18 10:11:43,29.36,29.58,-0.75,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 21:52:37,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 21:53:55,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 22:08:23,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 22:10:08,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 22:12:57,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.76,1.14,2025-09-20 22:14:12,29.01,29.58,-1.92,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:13:14,27.57,29.58,-6.79,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:13:31,27.57,29.58,-6.79,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:13:52,27.57,29.58,-6.79,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:14:30,27.57,29.58,-6.79,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:14:50,27.58,29.58,-6.76,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:15:08,27.58,29.58,-6.76,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:22:27,27.58,29.58,-6.75,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:22:51,27.58,29.58,-6.75,False,True,False,True,7.0,2
T,2.9,1.14,2025-10-01 17:23:02,27.58,29.58,-6.75,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-02 16:28:28,27.0,27.71,-2.56,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-02 16:32:22,27.0,27.71,-2.56,False,True,False,True,7.0,2
T,2.95,4.14,2025-10-03 16:40:19,27.08,27.71,-2.27,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-03 16:46:23,27.07,27.71,-2.31,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-03 16:49:31,27.07,27.71,-2.31,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-04 01:18:58,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:15:34,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:27:18,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:28:08,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:44:06,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:49:20,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:49:59,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,2.96,4.14,2025-10-05 04:52:19,27.06,27.71,-2.35,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:09:05,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:16:15,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:20:42,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:03,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:09,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:12,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:16,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:19,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.05,4.14,2025-10-09 01:26:22,26.25,27.71,-5.27,False,True,False,True,7.0,2
T,3.04,4.14,2025-10-09 12:49:05,26.29,27.71,-5.14,False,True,False,True,7.0,2
T,3.04,4.14,2025-10-09 13:03:41,26.34,27.71,-4.96,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:03:56,26.32,27.71,-5.0,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:04:46,26.32,27.71,-5.0,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:12:41,26.34,27.71,-4.94,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:18:48,26.34,27.71,-4.94,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:35:27,26.34,27.71,-4.94,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:35:33,26.34,27.71,-4.93,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:35:37,26.35,27.71,-4.92,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:35:41,26.34,27.71,-4.93,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:39:24,26.34,27.71,-4.93,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:43:07,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:45:06,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:47:36,26.3,27.71,-5.07,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:47:41,26.31,27.71,-5.05,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:47:46,26.3,27.71,-5.07,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:47:52,26.3,27.71,-5.07,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:51:08,26.32,27.71,-5.02,False,True,False,True,7.0,2
T,3.04,4.14,2025-10-09 13:51:14,26.32,27.71,-5.03,False,True,False,True,7.0,2
T,3.04,4.14,2025-10-09 13:51:19,26.32,27.71,-5.02,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:51:24,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:58:24,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:58:30,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:58:35,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.04,4.14,2025-10-09 13:58:41,26.32,27.71,-5.03,False,True,False,True,10.5,2
T,3.06,4.14,2025-10-09 16:05:54,26.15,27.71,-5.64,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:07:47,26.12,27.71,-5.74,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:07:50,26.12,27.71,-5.74,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:07:54,26.12,27.71,-5.74,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:09:32,26.15,27.71,-5.63,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:09:34,26.15,27.71,-5.63,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 16:09:39,26.15,27.71,-5.63,False,True,False,True,7.0,2
T,3.06,4.14,2025-10-09 19:58:44,26.13,27.71,-5.7,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-09 23:30:34,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:07:06,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:07:11,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:07:15,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:07:19,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:08:38,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:08:43,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:08:48,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.07,4.14,2025-10-10 03:08:53,26.1,27.71,-5.81,False,True,False,True,7.0,2
T,3.08,4.14,2025-10-10 12:36:40,26.01,27.71,-6.13,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 12:37:10,26.01,27.71,-6.13,False,True,False,True,10.5,2
T,3.07,4.14,2025-10-10 12:41:52,26.02,27.71,-6.08,False,True,False,True,10.5,2
T,3.07,4.14,2025-10-10 12:41:55,26.02,27.71,-6.08,False,True,False,True,10.5,2
T,3.07,4.14,2025-10-10 12:42:00,26.02,27.71,-6.08,False,True,False,True,10.5,2
T,3.07,4.14,2025-10-10 12:42:06,26.02,27.71,-6.08,False,True,False,True,10.5,2
T,3.07,4.14,2025-10-10 12:42:12,26.03,27.71,-6.06,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 12:57:51,26.01,27.71,-6.15,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 12:57:59,26.0,27.71,-6.17,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 12:58:06,26.0,27.71,-6.19,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 12:58:13,26.0,27.71,-6.19,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 13:58:39,26.0,27.71,-6.15,False,True,False,True,10.5,2
T,3.08,4.14,2025-10-10 13:58:44,26.0,27.71,-6.15,False,True,False,True,10.5,2
