asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TEM,3,0.65,2025-07-14 09:50:40,58.85,57.63,2.12,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 09:50:52,58.85,57.63,2.12,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 09:54:31,58.58,57.63,1.65,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 09:54:46,58.59,57.63,1.67,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 09:55:26,58.54,57.63,1.58,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 09:55:40,58.55,57.63,1.61,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 10:03:44,58.62,57.63,1.72,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 10:03:59,58.56,57.63,1.62,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 10:43:17,58.3,57.63,1.16,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 11:42:34,58.32,57.63,1.2,False,True,False,False,7.0,2
TEM,3,0.65,2025-07-14 12:33:50,58.25,57.63,1.08,False,True,False,False,7.0,2
TEM,3,0.16,2025-07-16 21:30:52,59.65,59.75,-0.16,False,True,False,False,7.0,2
TEM,3,0.16,2025-07-16 21:33:50,59.65,59.75,-0.16,False,True,False,False,7.0,2
TEM,3,0.16,2025-07-16 21:34:30,59.65,59.75,-0.16,False,True,False,False,7.0,2
TEM,3,0.16,2025-07-16 21:40:52,59.65,59.75,-0.16,False,True,False,False,7.0,2
TEM,3,0.16,2025-07-16 23:01:00,59.97,59.75,0.37,False,True,False,False,7.0,2
TEM,2,1.01,2025-07-17 09:39:56,60.59,60.85,-0.44,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-17 10:10:23,61.2,60.85,0.58,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-17 10:39:24,61.35,60.85,0.81,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-18 11:53:30,61.45,60.85,0.98,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-18 11:56:34,61.42,60.85,0.94,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-18 13:53:50,60.2,60.85,-1.08,False,True,False,True,14.0,2
TEM,2,1.01,2025-07-19 21:51:55,60.98,60.85,0.21,False,True,False,True,7.0,2
TEM,2,1.01,2025-07-22 02:06:29,58.01,60.85,-4.67,False,True,False,True,7.0,2
TEM,1.38,1.01,2025-07-22 02:50:17,58.01,60.85,-4.67,False,True,False,True,7.0,2
TEM,1.38,1.01,2025-07-22 02:51:07,58.01,60.85,-4.67,False,True,False,True,7.0,2
TEM,1.38,1.01,2025-07-22 02:52:22,58.01,60.85,-4.67,False,True,False,True,7.0,2
TEM,1.26,1.01,2025-07-24 14:48:54,63.53,64.15,-0.97,False,True,False,True,7.0,2
TEM,1.28,1.01,2025-07-25 09:42:02,62.33,64.15,-2.84,False,True,False,True,14.0,2
TEM,1.28,1.01,2025-07-25 09:50:52,62.5,64.15,-2.57,False,True,False,True,14.0,2
TEM,1.24,1.01,2025-07-27 17:06:25,64.49,64.15,0.53,False,True,False,True,7.0,2
TEM,1.24,1.01,2025-07-27 17:07:06,64.49,64.15,0.53,False,True,False,True,7.0,2
TEM,1.24,1.01,2025-07-27 20:09:09,64.49,64.15,0.53,False,True,False,True,7.0,2
TEM,1.24,1.01,2025-07-27 20:09:14,64.49,64.15,0.53,False,True,False,True,7.0,2
TEM,1.37,1.01,2025-07-28 13:26:27,62.16,64.15,-3.09,False,True,False,True,14.0,2
TEM,1.46,1.01,2025-07-29 22:29:41,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:30:54,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:31:05,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:32:21,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:54:46,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:56:26,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-29 22:56:47,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-30 01:29:23,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-30 01:29:52,58.29,64.15,-9.13,False,False,True,True,7.0,2
TEM,1.45,1.01,2025-07-30 14:16:25,58.65,64.15,-8.58,False,False,True,True,7.0,2
TEM,1.45,1.01,2025-07-30 14:17:30,58.66,64.15,-8.56,False,False,True,True,7.0,2
TEM,1.45,1.01,2025-07-30 14:21:42,58.54,64.15,-8.74,False,False,True,True,7.0,2
TEM,1.46,1.01,2025-07-30 16:27:09,58.32,64.15,-9.09,False,False,True,True,7.0,2
TEM,1.47,1.01,2025-07-30 17:10:38,57.95,64.15,-9.66,False,False,True,True,7.0,2
TEM,1.47,1.01,2025-07-30 23:10:20,57.81,64.15,-9.88,False,False,True,True,7.0,2
TEM,1.55,1.57,2025-08-04 02:07:31,54.89,61.92,-11.36,False,False,True,True,7.0,2
TEM,1.55,1.57,2025-08-04 02:12:47,54.89,61.92,-11.36,False,False,True,True,7.0,2
TEM,1.55,1.57,2025-08-04 02:19:20,54.89,61.92,-11.36,False,False,True,True,7.0,2
TEM,1.55,1.57,2025-08-04 02:21:22,54.89,61.92,-11.36,False,False,True,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:06:27,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:12:53,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:15:56,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:18:26,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:20:13,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:21:15,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:27:58,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:34:23,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:37:39,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:46:08,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.48,1.57,2025-08-05 00:57:59,57.52,61.92,-7.11,False,True,False,True,7.0,2
TEM,1.47,1.57,2025-08-06 00:53:09,57.74,61.92,-6.75,False,True,False,True,7.0,2
TEM,1.4,0.01,2025-08-10 23:25:38,60.87,57.9,5.12,True,False,False,False,7.0,2
TEM,1.4,0.01,2025-08-10 23:26:05,60.87,57.9,5.12,True,False,False,False,7.0,2
TEM,1.4,0.01,2025-08-10 23:27:43,60.87,57.9,5.12,True,False,False,False,7.0,2
TEM,1.4,0.01,2025-08-10 23:29:18,60.87,57.9,5.12,True,False,False,False,7.0,2
TEM,1.4,0.01,2025-08-10 23:30:26,60.87,57.9,5.12,True,False,False,False,7.0,2
TEM,1.3,0.01,2025-08-12 19:55:01,65.41,57.9,12.96,True,False,False,False,7.0,2
TEM,1.3,0.01,2025-08-12 20:07:18,65.6,57.9,13.29,True,False,False,False,7.0,2
TEM,1.3,0.01,2025-08-12 20:11:27,65.6,57.9,13.29,True,False,False,False,7.0,2
TEM,1.12,0.48,2025-08-15 02:30:53,71.59,71.19,0.57,False,True,False,False,7.0,2
TEM,1.12,0.48,2025-08-15 02:38:02,71.59,71.19,0.57,False,True,False,False,7.0,2
TEM,1.12,0.48,2025-08-15 04:06:54,71.5,71.19,0.44,False,True,False,False,7.0,2
TEM,1.12,0.48,2025-08-15 04:36:54,71.6,71.19,0.58,False,True,False,False,7.0,2
TEM,1.09,0.01,2025-08-15 11:29:14,73.7,71.56,3.0,True,False,False,False,7.0,2
TEM,1.1,0.46,2025-08-15 11:58:30,73.01,73.71,-0.95,False,True,False,False,7.0,2
TEM,1.1,0.46,2025-08-15 12:13:29,72.76,73.71,-1.29,False,True,False,False,7.0,2
TEM,1.1,0.46,2025-08-15 12:32:43,72.77,73.71,-1.27,False,True,False,False,7.0,2
TEM,1.1,0.46,2025-08-15 12:33:16,72.77,73.71,-1.28,False,True,False,False,7.0,2
TEM,1.07,0.01,2025-08-15 13:35:02,74.47,73.71,1.04,False,True,False,False,7.0,2
TEM,1.09,0.01,2025-08-20 03:58:54,73.08,75.21,-2.83,False,True,False,False,7.0,2
TEM,1.14,0.01,2025-08-20 04:00:12,70.4,75.21,-6.39,False,True,False,False,7.0,2
TEM,1.14,0.01,2025-08-20 04:00:30,70.4,75.21,-6.39,False,True,False,False,7.0,2
TEM,1.14,0.01,2025-08-20 04:00:38,70.4,75.21,-6.39,False,True,False,False,7.0,2
TEM,1.14,0.01,2025-08-20 04:00:48,70.4,75.21,-6.39,False,True,False,False,7.0,2
TEM,1.13,0.01,2025-08-20 04:01:44,70.65,75.21,-6.06,False,True,False,False,7.0,2
TEM,1.13,0.01,2025-08-20 04:02:20,70.65,75.21,-6.06,False,True,False,False,7.0,2
TEM,1.13,0.01,2025-08-20 04:02:40,70.65,75.21,-6.06,False,True,False,False,7.0,2
TEM,1.13,0.01,2025-08-20 04:06:17,71.01,75.21,-5.58,False,True,False,False,7.0,2
TEM,1.13,0.01,2025-08-20 04:10:01,70.85,75.21,-5.79,False,True,False,False,7.0,2
