asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TGT,1,3.51,2025-06-22 22:31:52,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:32:57,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:33:27,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:34:15,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:35:05,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:37:31,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:38:53,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:39:57,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:43:27,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-22 22:43:58,95.54,96.69,-1.19,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-23 22:04:06,96.96,96.69,0.28,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-23 22:05:10,96.96,96.69,0.28,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-23 22:17:21,96.96,96.69,0.28,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-23 22:17:35,96.96,96.69,0.28,False,True,False,True,7.5,2
TGT,1,3.51,2025-06-23 22:44:25,96.96,96.69,0.28,False,True,False,True,7.5,2
