asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TNA,4,1.0,2025-07-14 00:02:24,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:04:30,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:04:59,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:15:06,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:17:27,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:22:15,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:23:09,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 00:29:09,36.1,36.79,-1.88,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:50:40,36.47,36.79,-0.87,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:50:52,36.46,36.79,-0.9,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:54:31,36.3,36.79,-1.33,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:54:46,36.32,36.79,-1.28,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:55:26,36.27,36.79,-1.41,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 09:55:40,36.24,36.79,-1.49,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 10:03:44,36.2,36.79,-1.6,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 10:03:59,36.19,36.79,-1.63,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 10:43:17,36.53,36.79,-0.71,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 11:42:34,36.48,36.79,-0.84,False,True,False,True,7.0,2
TNA,4,1.0,2025-07-14 12:33:50,36.35,36.79,-1.2,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-16 21:30:52,35.68,36.06,-1.06,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-16 21:33:50,35.68,36.06,-1.06,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-16 21:34:30,35.68,36.06,-1.06,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-16 21:40:52,35.68,36.06,-1.06,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-16 23:01:00,35.68,36.06,-1.06,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-17 09:39:56,36.42,36.06,0.99,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-17 10:10:23,36.89,36.06,2.28,False,True,False,True,7.0,2
TNA,4,11.0,2025-07-17 10:39:24,36.4,36.06,0.94,False,True,False,True,7.0,2
TNA,2.16,4.16,2025-07-24 14:48:54,37.06,37.41,-0.94,False,True,False,True,7.0,2
TNA,2.18,4.16,2025-07-25 09:42:02,36.62,37.41,-2.11,False,True,False,True,14.0,2
TNA,2.2,4.16,2025-07-25 09:50:52,36.4,37.41,-2.7,False,True,False,True,14.0,2
TNA,2.15,4.16,2025-07-27 17:06:25,37.15,37.41,-0.7,False,True,False,True,7.0,2
TNA,2.15,4.16,2025-07-27 17:07:06,37.15,37.41,-0.7,False,True,False,True,7.0,2
TNA,2.15,4.16,2025-07-27 20:09:09,37.15,37.41,-0.7,False,True,False,True,7.0,2
TNA,2.15,4.16,2025-07-27 20:09:14,37.15,37.41,-0.7,False,True,False,True,7.0,2
TNA,2.3,9.78,2025-07-28 13:26:27,36.88,37.11,-0.61,False,True,False,True,14.0,2
TNA,2.34,9.78,2025-07-29 22:29:41,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:30:54,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:31:05,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:32:21,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:54:46,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:56:26,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-29 22:56:47,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-30 01:29:23,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.34,9.78,2025-07-30 01:29:52,36.32,37.11,-2.12,False,True,False,True,7.0,2
TNA,2.3,9.78,2025-07-30 14:16:25,36.99,37.11,-0.31,False,True,False,True,7.0,2
TNA,2.3,9.78,2025-07-30 14:17:30,36.99,37.11,-0.31,False,True,False,True,7.0,2
TNA,2.3,9.78,2025-07-30 14:21:42,37.0,37.11,-0.28,False,True,False,True,7.0,2
TNA,2.42,9.78,2025-07-30 16:27:09,35.11,37.11,-5.38,False,True,False,True,7.0,2
TNA,2.41,9.78,2025-07-30 17:10:38,35.2,37.11,-5.14,False,True,False,True,7.0,2
TNA,2.38,9.78,2025-07-30 23:10:20,35.75,37.11,-3.65,False,True,False,True,7.0,2
TNA,2.61,9.78,2025-08-04 02:07:31,32.54,37.11,-12.3,False,False,True,True,7.0,2
TNA,2.61,9.78,2025-08-04 02:12:47,32.54,37.11,-12.3,False,False,True,True,7.0,2
TNA,2.61,9.78,2025-08-04 02:19:20,32.54,37.11,-12.3,False,False,True,True,7.0,2
TNA,2.61,9.78,2025-08-04 02:21:22,32.54,37.11,-12.3,False,False,True,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:06:27,34.67,37.11,-6.56,False,True,False,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:12:53,34.67,37.11,-6.56,False,True,False,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:15:56,34.67,37.11,-6.56,False,True,False,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:18:26,34.67,37.11,-6.56,False,True,False,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:20:13,34.67,37.11,-6.56,False,True,False,True,7.0,2
TNA,2.45,9.78,2025-08-05 00:21:15,34.67,37.11,-6.56,False,True,False,True,7.0,2
