asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TSLL,10,0.16,2025-06-22 22:31:52,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:32:57,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:33:27,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:34:15,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:35:05,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:37:31,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:38:53,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:39:57,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:43:27,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,10,0.16,2025-06-22 22:43:58,12.36,12.8,-3.42,False,True,False,False,7.5,2
TSLL,8,0.16,2025-06-23 22:04:06,14.82,14.73,0.63,False,True,False,False,9.0,2
TSLL,8,0.16,2025-06-23 22:05:10,14.82,14.73,0.63,False,True,False,False,9.0,2
TSLL,8,0.16,2025-06-23 22:17:21,14.82,14.73,0.63,False,True,False,False,9.0,2
TSLL,8,0.16,2025-06-23 22:17:35,14.82,14.73,0.63,False,True,False,False,9.0,2
TSLL,8,0.16,2025-06-23 22:44:25,14.82,14.73,0.63,False,True,False,False,9.0,2
TSLL,9,50.01,2025-06-26 01:22:30,12.58,13.71,-8.27,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 21:56:11,12.5,13.71,-8.85,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 21:57:36,12.5,13.71,-8.85,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 21:58:20,12.5,13.71,-8.85,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 21:59:27,12.5,13.71,-8.85,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 21:59:53,12.5,13.71,-8.85,False,True,False,True,10.2,2
TSLL,9,50.01,2025-06-26 22:00:11,12.5,13.71,-8.85,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:34:17,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:34:49,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:36:59,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:38:57,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:44:19,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:47:23,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:47:36,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:49:04,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:49:32,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:53:35,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:57:23,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-29 23:58:59,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-30 00:00:18,12.27,12.49,-1.76,False,True,False,True,10.5,2
TSLL,9,175.01,2025-06-30 00:01:53,12.27,12.49,-1.76,False,True,False,True,10.5,2
