asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TSLW,2.0,1.0,2025-09-20 21:52:37,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,2.0,1.0,2025-09-20 21:53:55,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,2.0,1.0,2025-09-20 22:08:23,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,2.0,1.0,2025-09-20 22:10:08,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,2.0,1.0,2025-09-20 22:12:57,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,2.0,1.0,2025-09-20 22:14:12,40.01,39.05,2.46,False,True,False,True,7.0,2
TSLW,1.03,1.0,2025-10-07 15:08:13,39.02,40.31,-3.2,False,True,False,True,7.0,2
TSLW,1.04,1.0,2025-10-07 16:22:36,38.45,40.31,-4.61,False,True,False,True,7.0,2
TSLW,1.04,1.0,2025-10-07 16:24:22,38.45,40.31,-4.61,False,True,False,True,7.0,2
TSLW,1.04,1.0,2025-10-07 16:53:11,38.45,40.31,-4.61,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:09:05,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:16:15,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:20:42,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:20:53,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:14,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:18,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:21,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:25,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:28,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:24:31,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:07,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:13,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:17,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:20,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:23,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,1.02,1.0,2025-10-09 01:25:26,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:03,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:09,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:12,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:16,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:19,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.05,1.0,2025-10-09 01:26:22,39.09,40.31,-3.03,False,True,False,True,7.0,2
TSLW,2.08,1.0,2025-10-09 12:49:05,38.48,40.31,-4.53,False,True,False,True,7.0,2
TSLW,2.09,1.0,2025-10-09 13:03:41,38.32,40.31,-4.94,False,True,False,True,10.5,2
