asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TSLZ,80,22.0,2025-07-14 00:02:24,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:04:30,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:04:59,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:15:06,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:17:27,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:22:15,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:23:09,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 00:29:09,1.64,1.68,-2.22,False,True,False,True,10.5,2
TSLZ,82,22.0,2025-07-14 09:50:40,1.6,1.68,-4.6,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 09:50:52,1.61,1.68,-4.01,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 09:54:31,1.61,1.68,-4.01,False,True,False,True,10.5,2
TSLZ,82,22.0,2025-07-14 09:54:46,1.6,1.68,-4.6,False,True,False,True,10.5,2
TSLZ,82,22.0,2025-07-14 09:55:26,1.6,1.68,-4.39,False,True,False,True,10.5,2
TSLZ,82,22.0,2025-07-14 09:55:40,1.6,1.68,-4.6,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 10:03:44,1.6,1.68,-4.3,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 10:03:59,1.6,1.68,-4.3,False,True,False,True,10.5,2
TSLZ,80,22.0,2025-07-14 10:43:17,1.63,1.68,-2.89,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 11:42:34,1.62,1.68,-3.41,False,True,False,True,10.5,2
TSLZ,81,22.0,2025-07-14 12:33:50,1.62,1.68,-3.35,False,True,False,True,10.5,2
TSLZ,85,22.0,2025-07-16 21:30:52,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,85,22.0,2025-07-16 21:33:50,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,85,22.0,2025-07-16 21:34:30,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,85,22.0,2025-07-16 21:40:52,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,85,22.0,2025-07-16 23:01:00,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,75,22.0,2025-07-17 09:39:56,1.54,1.68,-8.17,False,True,False,True,10.5,2
TSLZ,76,22.0,2025-07-17 10:10:23,1.53,1.68,-8.91,False,True,False,True,10.5,2
TSLZ,75,22.0,2025-07-17 10:39:24,1.54,1.68,-7.88,False,True,False,True,10.5,2
TSLZ,82,22.0,2025-07-18 11:53:30,1.48,1.68,-11.75,False,False,True,True,10.5,2
TSLZ,81,22.0,2025-07-18 11:56:34,1.49,1.68,-11.46,False,False,True,True,10.5,2
TSLZ,75,22.0,2025-07-18 13:53:50,1.48,1.68,-11.6,False,True,False,True,21.0,2
TSLZ,75,22.0,2025-07-19 21:51:55,1.48,1.68,-11.76,False,False,True,True,10.5,2
TSLZ,55,22.0,2025-07-22 02:06:29,1.48,1.68,-12.06,False,False,True,True,10.5,2
TSLZ,54.24,22.0,2025-07-22 02:50:17,1.48,1.68,-12.06,False,False,True,True,10.5,2
TSLZ,54.24,22.0,2025-07-22 02:51:07,1.48,1.68,-12.06,False,False,True,True,10.5,2
TSLZ,54.24,22.0,2025-07-22 02:52:22,1.48,1.68,-12.06,False,False,True,True,10.5,2
TSLZ,101.6,671.0,2025-09-18 10:11:43,0.79,0.83,-5.13,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 21:52:37,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 21:53:55,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 22:08:23,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 22:10:08,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 22:12:57,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,100.6,671.0,2025-09-20 22:14:12,0.8,0.83,-4.19,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:13:14,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:13:31,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:13:52,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:14:30,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:14:50,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:15:08,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.08,2671.0,2025-10-01 17:22:27,0.67,0.75,-10.14,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:22:51,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,119.07,2671.0,2025-10-01 17:23:02,0.67,0.75,-10.13,False,True,False,True,13.125,2
TSLZ,109.33,2671.0,2025-10-02 16:28:28,0.73,0.75,-2.13,False,True,False,True,11.375,2
TSLZ,109.29,2671.0,2025-10-02 16:32:22,0.73,0.75,-2.09,False,True,False,True,11.375,2
TSLZ,105.28,1.0,2025-10-03 16:40:19,0.76,0.78,-2.46,False,True,False,True,11.375,2
TSLZ,105.3,1.0,2025-10-03 16:46:23,0.76,0.78,-2.49,False,True,False,True,11.375,2
TSLZ,105.32,1.0,2025-10-03 16:49:31,0.76,0.78,-2.5,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-04 01:18:58,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:15:34,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:27:18,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:28:08,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:44:06,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:49:20,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:49:59,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,105.4,6.0,2025-10-05 04:52:19,0.76,0.75,0.55,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:09:05,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:16:15,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:20:42,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:26:03,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:26:09,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:26:12,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:26:16,0.72,0.73,-2.34,False,True,False,True,11.375,2
TSLZ,111.58,1.0,2025-10-09 01:26:19,0.72,0.73,-2.34,False,True,False,True,11.375,2
