asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TSM,0.27,0.01,2025-10-09 12:49:05,298.32,302.98,-1.54,False,True,False,False,7.0,2
TSM,0.27,0.01,2025-10-09 13:03:41,297.93,302.98,-1.67,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:03:56,298.01,302.98,-1.64,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:04:46,298.02,302.98,-1.64,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:12:41,297.82,302.98,-1.7,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:18:48,297.68,302.98,-1.75,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:35:27,298.13,302.98,-1.6,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:35:33,298.19,302.98,-1.58,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:35:37,298.02,302.98,-1.64,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:35:41,298.02,302.98,-1.64,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:39:24,298.45,302.98,-1.49,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:43:07,298.76,302.98,-1.39,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:45:06,298.67,302.98,-1.42,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:47:36,298.57,302.98,-1.45,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:47:41,298.63,302.98,-1.44,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:47:46,298.63,302.98,-1.44,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:47:52,298.63,302.98,-1.44,False,True,False,False,10.5,2
TSM,0.27,0.01,2025-10-09 13:51:08,299.0,302.98,-1.31,False,True,False,False,7.0,2
TSM,0.27,0.01,2025-10-09 13:51:14,299.05,302.98,-1.3,False,True,False,False,7.0,2
