asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TSMY,7,4.0,2025-07-01 23:48:00,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-01 23:50:10,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-01 23:50:22,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:06:47,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:08:20,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:09:17,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:10:29,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:10:59,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:18:22,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:18:59,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:19:58,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:20:36,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:22:15,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:22:51,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:27:16,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:28:14,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:29:25,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:29:48,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:30:11,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:31:05,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:31:15,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:31:33,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:31:41,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:34:02,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:35:21,16.41,16.27,0.86,False,True,False,True,3.5,2
TSMY,7,4.0,2025-07-02 00:37:08,16.41,16.27,0.86,False,True,False,True,3.5,2
