asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
TTD,1.57,2.0,2025-08-10 23:25:38,54.23,62.5,-13.23,False,False,True,True,7.0,2
TTD,1.57,2.0,2025-08-10 23:26:05,54.23,62.5,-13.23,False,False,True,True,7.0,2
TTD,1.57,2.0,2025-08-10 23:27:43,54.23,62.5,-13.23,False,False,True,True,7.0,2
TTD,1.57,2.0,2025-08-10 23:29:18,54.23,62.5,-13.23,False,False,True,True,7.0,2
TTD,1.57,2.0,2025-08-10 23:30:26,54.23,62.5,-13.23,False,False,True,True,7.0,2
TTD,1.6,2.0,2025-08-12 19:55:01,53.07,62.5,-15.09,False,False,True,True,7.0,2
TTD,1.6,2.0,2025-08-12 20:07:18,53.1,62.5,-15.04,False,False,True,True,7.0,2
TTD,1.6,2.0,2025-08-12 20:11:27,53.1,62.5,-15.04,False,False,True,True,7.0,2
TTD,1.58,2.0,2025-08-15 02:30:53,50.76,62.5,-18.78,False,False,True,True,7.0,2
TTD,1.58,2.0,2025-08-15 02:38:02,50.76,62.5,-18.78,False,False,True,True,7.0,2
TTD,1.56,2.0,2025-08-15 04:06:54,51.35,62.5,-17.84,False,False,True,True,7.0,2
TTD,1.56,2.0,2025-08-15 04:36:54,51.31,62.5,-17.9,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-15 11:29:14,52.4,62.5,-16.16,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-15 11:58:30,52.13,62.5,-16.59,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-15 12:13:29,52.31,62.5,-16.3,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-15 12:32:43,52.26,62.5,-16.39,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-15 12:33:16,52.22,62.5,-16.45,False,False,True,True,7.0,2
TTD,1.52,2.0,2025-08-15 13:35:02,52.5,62.5,-16.0,False,False,True,True,7.0,2
TTD,1.52,2.0,2025-08-20 03:58:54,52.53,62.5,-15.95,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:00:12,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:00:30,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:00:38,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:00:48,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:01:44,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:02:20,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-20 04:02:40,52.25,62.5,-16.4,False,False,True,True,7.0,2
TTD,1.52,2.0,2025-08-20 04:06:17,52.47,62.5,-16.05,False,False,True,True,7.0,2
TTD,1.52,2.0,2025-08-20 04:10:01,52.47,62.5,-16.05,False,False,True,True,7.0,2
TTD,1.52,2.0,2025-08-20 04:11:54,52.47,62.5,-16.05,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-21 12:47:54,52.22,62.5,-16.45,False,False,True,True,7.0,2
TTD,1.53,2.0,2025-08-21 12:48:57,52.17,62.5,-16.53,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:10:48,52.31,62.5,-16.3,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:11:49,52.25,62.5,-16.4,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:12:52,52.29,62.5,-16.34,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:28:14,52.21,62.5,-16.46,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:32:46,52.27,62.5,-16.37,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-21 13:35:04,52.35,62.5,-16.24,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-25 16:18:32,52.42,62.5,-16.13,False,False,True,True,10.5,2
TTD,1.53,2.0,2025-08-25 16:20:39,52.41,62.5,-16.14,False,False,True,True,10.5,2
