asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
UPS,0.95,0.02,2025-09-08 22:32:20,84.32,83.38,1.13,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-08 22:34:53,84.32,83.38,1.13,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-08 22:37:47,84.32,83.38,1.13,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-08 22:47:17,84.32,83.38,1.13,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-11 22:51:54,84.65,83.38,1.53,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-12 19:52:12,84.41,83.38,1.23,False,True,False,False,7.0,2
UPS,0.95,0.02,2025-09-18 10:11:43,84.46,83.38,1.3,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 21:52:37,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 21:53:55,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 22:08:23,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 22:10:08,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 22:12:57,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-09-20 22:14:12,84.06,87.05,-3.43,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:13:14,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:13:31,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:13:52,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:14:30,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:14:50,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:15:08,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:22:27,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:22:51,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.95,0.39,2025-10-01 17:23:02,84.21,87.05,-3.26,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-02 16:28:28,85.69,87.05,-1.56,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-02 16:32:22,85.7,87.05,-1.55,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-03 16:40:19,86.87,87.05,-0.21,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-03 16:46:23,86.87,87.05,-0.21,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-03 16:49:31,86.87,87.05,-0.21,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-04 01:18:58,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:15:34,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:27:18,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:28:08,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:44:06,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:49:20,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:49:59,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.92,0.39,2025-10-05 04:52:19,86.78,87.05,-0.31,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:09:05,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:16:15,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:20:42,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:03,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:09,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:12,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:16,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:19,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 01:26:22,86.25,87.05,-0.92,False,True,False,False,7.0,2
UPS,0.93,0.39,2025-10-09 12:49:05,85.66,87.05,-1.6,False,True,False,False,7.0,2
UPS,0.94,0.39,2025-10-09 13:03:41,85.42,87.05,-1.87,False,True,False,False,10.5,2
UPS,0.94,0.39,2025-10-09 13:03:56,85.41,87.05,-1.88,False,True,False,False,10.5,2
UPS,0.94,0.39,2025-10-09 13:04:46,85.41,87.05,-1.89,False,True,False,False,10.5,2
UPS,0.94,0.39,2025-10-09 13:12:41,85.53,87.05,-1.75,False,True,False,False,10.5,2
UPS,0.94,0.39,2025-10-09 13:18:48,85.51,87.05,-1.77,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:35:27,85.64,87.05,-1.62,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:35:33,85.64,87.05,-1.62,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:35:37,85.64,87.05,-1.62,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:35:41,85.64,87.05,-1.62,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:39:24,85.6,87.05,-1.67,False,True,False,False,10.5,2
UPS,0.93,0.39,2025-10-09 13:43:07,85.57,87.05,-1.7,False,True,False,False,10.5,2
