asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
USB,1.7,0.03,2025-10-09 12:49:05,47.03,46.77,0.56,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 13:03:41,46.98,46.77,0.44,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:03:56,46.97,46.77,0.43,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:04:46,46.99,46.77,0.47,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:12:41,46.98,46.77,0.46,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:18:48,46.98,46.77,0.45,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:35:27,47.03,46.77,0.57,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:35:33,47.03,46.77,0.57,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:35:37,47.03,46.77,0.57,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:35:41,47.03,46.77,0.57,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:39:24,47.06,46.77,0.62,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:43:07,47.05,46.77,0.6,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:45:06,47.05,46.77,0.59,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:47:36,47.05,46.77,0.59,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:47:41,47.05,46.77,0.6,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:47:46,47.05,46.77,0.6,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:47:52,47.05,46.77,0.6,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:51:08,47.05,46.77,0.6,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 13:51:14,47.05,46.77,0.6,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 13:51:19,47.05,46.77,0.59,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:51:24,47.05,46.77,0.59,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:58:24,46.99,46.77,0.49,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:58:30,47.0,46.77,0.5,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:58:35,47.01,46.77,0.51,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 13:58:41,47.01,46.77,0.51,False,True,False,False,10.5,2
USB,1.7,0.03,2025-10-09 16:05:54,47.1,46.77,0.71,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 16:07:47,47.1,46.77,0.71,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 16:07:50,47.1,46.77,0.71,False,True,False,False,7.0,2
USB,1.7,0.03,2025-10-09 16:07:54,47.1,46.77,0.71,False,True,False,False,7.0,2
