asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
WDAY,0.4,0.65,2025-08-12 19:55:01,212.0,212.67,-0.32,False,True,False,False,7.0,2
WDAY,0.4,0.65,2025-08-12 20:07:18,212.0,212.67,-0.32,False,True,False,False,7.0,2
WDAY,0.4,0.65,2025-08-12 20:11:27,212.0,212.67,-0.32,False,True,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 02:30:53,221.92,218.87,1.39,False,True,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 02:38:02,221.92,218.87,1.39,False,True,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 04:06:54,221.8,218.87,1.34,False,True,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 04:36:54,221.8,218.87,1.34,False,True,False,False,7.0,2
WDAY,0.36,0.01,2025-08-15 11:29:14,224.4,218.87,2.52,True,False,False,False,7.0,2
WDAY,0.35,0.01,2025-08-15 11:58:30,225.37,218.87,2.97,True,False,False,False,7.0,2
WDAY,0.35,0.01,2025-08-15 12:13:29,225.85,218.87,3.19,True,False,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 12:32:43,225.29,224.99,0.13,False,True,False,False,7.0,2
WDAY,0.36,0.15,2025-08-15 12:33:16,225.34,224.99,0.16,False,True,False,False,7.0,2
WDAY,0.35,0.15,2025-08-15 13:35:02,225.54,224.99,0.25,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 03:58:54,229.79,232.88,-1.33,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:00:12,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:00:30,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:00:38,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:00:48,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:01:44,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:02:20,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:02:40,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:06:17,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:10:01,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-20 04:11:54,230.05,232.88,-1.21,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-21 12:47:54,226.56,232.88,-2.71,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-21 12:48:57,226.49,232.88,-2.74,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:10:48,226.51,232.88,-2.73,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:11:49,226.53,232.88,-2.72,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:12:52,226.52,232.88,-2.73,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:28:14,225.82,232.88,-3.03,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:32:46,225.91,232.88,-2.99,False,True,False,False,10.5,2
WDAY,0.35,0.14,2025-08-21 13:35:04,226.16,232.88,-2.88,False,True,False,False,10.5,2
WDAY,0.36,0.14,2025-08-25 16:18:32,224.29,232.88,-3.69,False,True,False,False,10.5,2
WDAY,0.36,0.14,2025-08-25 16:20:39,224.29,232.88,-3.69,False,True,False,False,10.5,2
WDAY,0.36,0.14,2025-08-25 16:47:24,223.9,232.88,-3.85,False,True,False,False,10.5,2
WDAY,0.36,0.14,2025-08-26 18:47:51,223.29,232.88,-4.12,False,True,False,False,7.0,2
WDAY,0.36,0.14,2025-08-26 18:53:22,223.29,232.88,-4.12,False,True,False,False,7.0,2
WDAY,0.36,0.14,2025-08-26 23:50:53,222.88,232.88,-4.29,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-28 15:20:47,227.85,232.88,-2.16,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-28 17:07:49,228.5,232.88,-1.88,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-28 17:18:45,228.5,232.88,-1.88,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-28 19:02:01,228.25,232.88,-1.99,False,True,False,False,7.0,2
WDAY,0.35,0.14,2025-08-28 19:03:13,228.25,232.88,-1.99,False,True,False,False,7.0,2
