asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
WEBL,5,1.3,2025-07-14 00:02:24,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:04:30,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:04:59,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:15:06,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:17:27,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:22:15,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:23:09,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 00:29:09,28.14,28.53,-1.37,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:50:40,28.72,28.53,0.67,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:50:52,28.72,28.53,0.67,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:54:31,28.73,28.53,0.7,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:54:46,28.73,28.53,0.7,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:55:26,28.73,28.53,0.7,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 09:55:40,28.76,28.53,0.81,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 10:03:44,28.77,28.53,0.84,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 10:03:59,28.77,28.53,0.84,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 10:43:17,28.81,28.53,0.98,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 11:42:34,29.03,28.53,1.75,False,True,False,True,7.0,2
WEBL,5,1.3,2025-07-14 12:33:50,29.14,28.53,2.14,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-16 21:30:52,28.61,27.95,2.36,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-16 21:33:50,28.61,27.95,2.36,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-16 21:34:30,28.61,27.95,2.36,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-16 21:40:52,28.61,27.95,2.36,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-16 23:01:00,28.61,27.95,2.36,False,True,False,True,7.0,2
WEBL,5,13.8,2025-07-17 09:39:56,28.74,27.95,2.83,True,False,False,True,7.0,2
WEBL,4,13.8,2025-07-17 10:10:23,28.95,27.95,3.58,True,False,False,True,7.0,2
WEBL,4,13.8,2025-07-17 10:39:24,28.86,27.95,3.24,True,False,False,True,7.0,2
