asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
XOM,2,0.01,2025-07-14 11:42:34,113.87,113.93,-0.05,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-14 12:33:50,113.38,113.93,-0.48,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-16 21:30:52,112.43,113.93,-1.31,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-16 21:33:50,112.43,113.93,-1.31,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-16 21:34:30,112.43,113.93,-1.31,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-16 21:40:52,112.43,113.93,-1.31,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-16 23:01:00,112.23,113.93,-1.49,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-17 09:39:56,111.75,113.93,-1.91,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-17 10:10:23,111.99,113.93,-1.7,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-17 10:39:24,111.83,113.93,-1.84,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-18 11:53:30,109.08,113.93,-4.26,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-18 11:56:34,108.99,113.93,-4.33,False,True,False,False,7.0,2
XOM,2,0.01,2025-07-18 13:53:50,108.23,113.93,-5.0,False,True,False,False,14.0,2
XOM,2,0.01,2025-07-19 21:51:55,107.77,113.93,-5.4,False,True,False,False,7.0,2
XOM,1,0.01,2025-07-22 02:06:29,108.05,113.93,-5.16,False,True,False,False,7.0,2
XOM,0.74,0.01,2025-07-22 02:50:17,108.05,113.93,-5.16,False,True,False,False,7.0,2
XOM,0.74,0.01,2025-07-22 02:51:07,108.05,113.93,-5.16,False,True,False,False,7.0,2
XOM,0.74,0.01,2025-07-22 02:52:22,108.05,113.93,-5.16,False,True,False,False,7.0,2
XOM,0.72,0.01,2025-07-24 14:48:54,110.76,113.93,-2.78,False,True,False,False,7.0,2
XOM,0.72,0.01,2025-07-25 09:42:02,110.65,113.93,-2.88,False,True,False,False,14.0,2
XOM,0.73,0.01,2025-07-25 09:50:52,110.28,113.93,-3.2,False,True,False,False,14.0,2
XOM,0.72,0.01,2025-07-27 17:06:25,110.4,113.93,-3.09,False,True,False,False,7.0,2
XOM,0.72,0.01,2025-07-27 17:07:06,110.4,113.93,-3.09,False,True,False,False,7.0,2
XOM,0.72,0.01,2025-07-27 20:09:09,110.4,113.93,-3.09,False,True,False,False,7.0,2
XOM,0.72,0.01,2025-07-27 20:09:14,110.4,113.93,-3.09,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-28 13:26:27,111.48,113.93,-2.15,False,True,False,False,14.0,2
XOM,0.75,0.01,2025-07-29 22:29:41,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:30:54,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:31:05,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:32:21,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:54:46,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:56:26,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-29 22:56:47,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-30 01:29:23,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.75,0.01,2025-07-30 01:29:52,112.88,113.93,-0.92,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 14:16:25,112.12,113.93,-1.59,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 14:17:30,112.15,113.93,-1.56,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 14:21:42,112.06,113.93,-1.63,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 16:27:09,111.5,113.93,-2.13,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 17:10:38,111.39,113.93,-2.23,False,True,False,False,7.0,2
XOM,0.76,0.01,2025-07-30 23:10:20,111.9,113.93,-1.78,False,True,False,False,7.0,2
XOM,0.78,0.01,2025-08-04 02:07:31,109.64,113.93,-3.76,False,True,False,False,7.0,2
XOM,0.78,0.01,2025-08-04 02:12:47,109.64,113.93,-3.76,False,True,False,False,7.0,2
XOM,0.78,0.01,2025-08-04 02:19:20,109.64,113.93,-3.76,False,True,False,False,7.0,2
XOM,0.78,0.01,2025-08-04 02:21:22,109.64,113.93,-3.76,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:06:27,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:12:53,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:15:56,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:18:26,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:20:13,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:21:15,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:27:58,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:34:23,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:37:39,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:46:08,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-05 00:57:59,107.37,113.93,-5.75,False,True,False,False,7.0,2
XOM,0.79,0.01,2025-08-06 00:53:09,107.24,113.93,-5.87,False,True,False,False,7.0,2
