asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
XRPT,9,10.0,2025-06-26 01:22:30,11.95,11.69,2.25,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 21:56:11,10.87,11.2,-2.96,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 21:57:36,10.87,11.2,-2.96,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 21:58:20,10.87,11.2,-2.96,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 21:59:27,10.87,11.2,-2.96,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 21:59:53,10.87,11.2,-2.96,False,True,False,True,10.2,2
XRPT,10,35.0,2025-06-26 22:00:11,10.87,11.2,-2.96,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:34:17,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:34:49,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:36:59,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:38:57,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:44:19,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:47:23,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:47:36,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:49:04,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:49:32,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:53:35,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:57:23,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-29 23:58:59,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:00:18,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:01:53,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:03:20,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:04:01,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:05:51,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:18:47,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:26:42,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:28:58,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:31:50,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:32:57,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:36:07,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:36:35,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:46:21,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:48:32,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:49:55,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:50:57,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:51:23,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,35.0,2025-06-30 00:52:42,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,11,35.0,2025-06-30 01:21:11,10.72,11.2,-4.29,False,True,False,True,10.5,2
XRPT,10,17.0,2025-06-30 11:34:56,11.64,11.2,3.92,True,False,False,True,10.5,2
XRPT,5.06,34.0,2025-08-29 19:18:40,15.8,16.41,-3.71,False,True,False,True,10.5,2
XRPT,5.07,34.0,2025-09-04 13:44:36,15.77,16.41,-3.86,False,True,False,True,10.5,2
XRPT,5.08,34.0,2025-09-04 13:46:09,15.76,16.41,-3.97,False,True,False,True,10.5,2
XRPT,4.92,34.0,2025-09-08 01:15:12,16.26,16.41,-0.91,False,True,False,True,10.5,2
XRPT,4.92,34.0,2025-09-08 01:16:41,16.26,16.41,-0.91,False,True,False,True,10.5,2
XRPT,4.92,34.0,2025-09-08 01:21:01,16.26,16.41,-0.91,False,True,False,True,10.5,2
XRPT,4.92,34.0,2025-09-08 01:33:51,16.26,16.41,-0.91,False,True,False,True,10.5,2
XRPT,4.92,34.0,2025-09-08 01:36:01,16.26,16.41,-0.91,False,True,False,True,10.5,2
XRPT,7.06,3.0,2025-10-15 10:35:01,11.33,11.03,2.72,False,True,False,True,9.1,2
XRPT,7.44,3.0,2025-10-15 11:53:51,10.75,11.03,-2.54,False,True,False,True,9.1,2
XRPT,7.4,3.0,2025-10-15 12:06:14,10.81,11.03,-1.99,False,True,False,True,9.1,2
XRPT,7.36,3.0,2025-10-15 12:10:15,10.87,11.03,-1.45,False,True,False,True,9.1,2
XRPT,7.37,3.0,2025-10-15 12:12:51,10.86,11.03,-1.57,False,True,False,True,9.1,2
XRPT,7.37,3.0,2025-10-15 12:14:10,10.85,11.03,-1.63,False,True,False,True,9.1,2
XRPT,7.37,3.0,2025-10-15 12:14:41,10.85,11.03,-1.63,False,True,False,True,9.1,2
XRPT,7.37,3.0,2025-10-15 12:15:11,10.85,11.03,-1.63,False,True,False,True,9.1,2
XRPT,7.37,3.0,2025-10-15 12:15:35,10.86,11.03,-1.54,False,True,False,True,9.1,2
XRPT,7.41,3.0,2025-10-15 12:18:09,10.8,11.03,-2.09,False,True,False,True,9.1,2
XRPT,7.39,3.0,2025-10-15 12:21:38,10.82,11.03,-1.9,False,True,False,True,9.1,2
XRPT,7.46,3.0,2025-10-15 15:20:43,10.72,11.03,-2.81,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:07:11,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:07:13,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:08:19,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:08:21,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:08:50,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:09:16,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:09:18,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:09:22,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:10:03,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:10:05,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:10:09,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:11:07,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:11:10,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-19 21:11:14,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,8.38,208.0,2025-10-20 01:53:39,9.55,9.71,-1.64,False,True,False,True,9.1,2
XRPT,7.35,208.0,2025-10-20 04:05:18,10.89,9.71,12.16,True,False,False,True,9.1,2
XRPT,7.34,208.0,2025-10-20 04:07:28,10.9,9.71,12.26,True,False,False,True,9.1,2
XRPT,7.34,208.0,2025-10-20 04:08:24,10.9,9.71,12.26,True,False,False,True,9.1,2
