asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
XYZY,13,156.0,2025-06-23 22:04:06,9.6,9.49,1.16,False,True,False,True,7.5,2
XYZY,13,156.0,2025-06-23 22:05:10,9.6,9.49,1.16,False,True,False,True,7.5,2
XYZY,13,156.0,2025-06-23 22:17:21,9.6,9.49,1.16,False,True,False,True,7.5,2
XYZY,13,156.0,2025-06-23 22:17:35,9.6,9.49,1.16,False,True,False,True,7.5,2
XYZY,13,156.0,2025-06-23 22:44:25,9.6,9.49,1.16,False,True,False,True,7.5,2
XYZY,11,153.0,2025-06-26 01:22:30,9.83,9.49,3.58,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 21:56:11,9.9,9.49,4.32,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 21:57:36,9.9,9.49,4.32,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 21:58:20,9.9,9.49,4.32,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 21:59:27,9.9,9.49,4.32,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 21:59:53,9.9,9.49,4.32,True,False,False,True,6.8,2
XYZY,11,150.0,2025-06-26 22:00:11,9.9,9.49,4.32,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:34:17,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:34:49,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:36:59,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:38:57,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:44:19,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:47:23,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:47:36,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:49:04,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:49:32,10.1,9.49,6.43,True,False,False,True,7.0,2
XYZY,11,1.0,2025-06-29 23:53:35,10.1,9.49,6.43,True,False,False,True,7.0,2
